_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6724da1850538de2c29023c4,,126.33,100,126.33,72.59,47;0;0;0,words,10,-1,1,4.46,0,6.14,false,false,english,none,normal,false,false,false,,1730468376000
6724d98950538de2c2901b14,,92.16,96.74,92.16,79.4,89;0;0;0,words,10,-1,0,11.59,0,0,false,false,english_10k,none,normal,false,false,false,,1730468233000
6724d82d50538de2c2900610,,79.67,97.53,79.67,77.92,79;0;0;0,words,10,-1,0,11.9,0,0,false,false,english_10k,none,normal,false,false,false,,1730467885000
6724d7d850538de2c2900168,,134.7,100,134.7,54.25,46;0;0;0,words,10,-1,0,4.1,0,0,false,false,english,none,normal,false,false,false,,1730467800000
6724d7d250538de2c2900122,,137.43,100,137.43,60.17,48;0;0;0,words,10,-1,2,4.19,0,5.22,false,false,english,none,normal,false,false,false,,1730467794000
6723db2d50538de2c2869e4c,,124.54,93.18,144.2,90.64,38;2;0;0,words,10,-1,2,3.66,0,4.6,false,false,english,none,normal,false,false,false,,1730403117000
6723c51850538de2c2855197,,104.78,96.36,104.78,55.22,53;0;0;0,words,10,-1,7,6.07,0,11.46,false,false,english,none,normal,false,false,false,,1730397464000
6723c2a250538de2c2852bba,,120.16,100,120.16,63.72,54;0;0;0,words,10,-1,1,5.39,0,2.23,false,false,english,none,normal,false,false,false,,1730396834000
6723c27e50538de2c28529d3,,125.11,95.92,142.57,59.52,43;1;0;0,words,10,-1,10,4.12,0,22.9,false,false,english,none,normal,false,false,false,,1730396798000
6723c1e150538de2c285204f,,136.54,100,136.54,88.1,54;0;0;0,words,10,-1,3,4.75,0,5.29,false,false,english,none,normal,false,false,false,,1730396641000
6723c1d450538de2c2851f5f,,134.15,100,134.15,77.2,50;0;0;0,words,10,-1,0,4.47,0,0,false,false,english,none,normal,false,false,false,,1730396628000
6723c1c850538de2c2851e9b,,128.65,100,128.65,90.38,49;0;0;0,words,10,-1,0,4.57,0,0,false,false,english,none,normal,false,false,false,,1730396616000
6723c1c250538de2c2851e3d,,125.51,100,125.51,68.06,56;0;0;0,words,10,-1,0,5.35,0,0,false,false,english,none,normal,false,false,false,,1730396610000
6723c1bc50538de2c2851dcb,,122.68,96.15,122.68,73.39,50;0;0;0,words,10,-1,5,4.89,0,10.86,false,false,english,none,normal,false,false,false,,1730396604000
6723c18050538de2c28519f3,,156.59,100,156.59,90.72,51;0;0;0,words,10,-1,1,3.91,0,0.83,false,false,english,none,normal,false,false,false,,1730396544000
6722807650538de2c276989d,,122.37,94.51,127.97,76.04,153;3;1;0,time,15,-1,2,15,0,4.21,false,false,english,none,normal,false,false,false,,1730314358000
67227fbe50538de2c2768d0d,,128.61,93.62,151.12,90.33,40;2;0;0,words,10,-1,2,3.73,0,2.99,false,false,english,none,normal,false,false,false,,1730314174000
